-180	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04
-172	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37
-168	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
-164	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39
-156	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42
-150	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.445
-130	0.575	0.575	0.575	0.575	0.575	0.575	0.575	0.575
-115	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
-90	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
-60	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
-40	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26
-30	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18
-16	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0.105
-4	-0.0075	-0.0075	-0.0075	-0.0065	-0.0105	-0.018	0.0238	0.02
-3	-0.0068	-0.007	-0.0072	-0.0073	-0.0089	-0.0124	0.0118	-0.0106
-2	-0.007	-0.0072	-0.0073	-0.0071	-0.0073	-0.0097	0	-0.025
-1	-0.0073	-0.0074	-0.0075	-0.0077	-0.0081	-0.0067	-0.0107	0
0	-0.0075	-0.0077	-0.0077	-0.0084	-0.0089	-0.0043	-0.0217	0.0096
1	-0.008	-0.0082	-0.0082	-0.0088	-0.0091	-0.003	-0.0311	-0.0055
2	-0.0085	-0.0087	-0.0087	-0.0092	-0.0093	-0.0035	-0.0426	-0.0362
3	-0.0091	-0.0093	-0.0093	-0.0093	-0.0079	-0.01	-0.055	-0.0618
4	-0.0096	-0.0099	-0.0099	-0.0094	-0.0054	-0.0224	-0.0682	-0.081
5	-0.0093	-0.0096	-0.0096	-0.0085	-0.0003	-0.0387	-0.08	-0.0963
6	-0.009	-0.0092	-0.0092	-0.0075	0.0037	-0.0554	-0.09	-0.1117
7	-0.0083	-0.0085	-0.0084	-0.0039	0.002	-0.0669	-0.1027	-0.127
8	-0.0074	-0.0076	-0.0076	-0.0003	-0.0055	-0.0784	-0.113	-0.1437
9	-0.0058	-0.006	-0.005	0.006	-0.0221	-0.0899	-0.1258	-0.1565
10	-0.0041	-0.0037	-0.0014	0.0124	-0.04	-0.0989	-0.138	-0.1693
11	-0.0012	-0.0001	0.0042	0.015	-0.0592	-0.1091	-0.15	-0.1846
12	0.0033	0.0048	0.0103	0.0038	-0.0759	-0.1181	-0.162	-0.1974
13	0.007	0.0086	0.0107	-0.0221	-0.0899	-0.1283	-0.175	-0.2115
14	0.0035	-0.0047	-0.022	-0.0567	-0.1027	-0.1398	-0.186	-0.2281
15	-0.0289	-0.0422	-0.0575	-0.0786	-0.113	-0.1501	-0.2	-0.2422
16	-0.0597	-0.0684	-0.0791	-0.0967	-0.1245	-0.1616	-0.21	-0.2576
17	-0.0777	-0.0847	-0.0957	-0.1088	-0.1347	-0.1706	-0.225	-0.2729
18	-0.0896	-0.097	-0.1068	-0.1189	-0.145	-0.1808	-0.24	-0.2883
19	-0.101	-0.1064	-0.1159	-0.127	-0.1526	-0.191	-0.25	-0.3011
25	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175
40	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29
60	-0.43	-0.43	-0.43	-0.43	-0.43	-0.43	-0.43	-0.43
90	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58
115	-0.63	-0.63	-0.63	-0.63	-0.63	-0.63	-0.63	-0.63
140	-0.555	-0.555	-0.555	-0.555	-0.555	-0.555	-0.555	-0.555
160	-0.43	-0.43	-0.43	-0.43	-0.43	-0.43	-0.43	-0.43
168	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38
172	-0.39	-0.39	-0.39	-0.39	-0.39	-0.39	-0.39	-0.39
176	-0.28	-0.28	-0.28	-0.28	-0.28	-0.28	-0.28	-0.28
180	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04
