AoA	Cl	Cd	Cm
-13.0	-0.9585	0.0777	0.0148
-12.0	-0.9096	0.0629	0.0053
-11.0	-0.884	0.0564	0.0002
-10.0	-0.879	0.0552	-0.0013
-9.0	-0.8925	0.0323	-0.0203
-8.0	-0.8601	0.0188	-0.0258
-7.0	-0.7814	0.0129	-0.0188
-6.0	-0.6715	0.0111	-0.0128
-5.0	-0.5451	0.0106	-0.0121
-4.0	-0.4172	0.01	-0.0125
-3.0	-0.291	0.0097	-0.0129
-2.0	-0.1645	0.0095	-0.0134
-1.0	-0.0379	0.0093	-0.0141
0.0	0.0887	0.0093	-0.0149
1.0	0.2154	0.0094	-0.0157
2.0	0.3418	0.0096	-0.0164
3.0	0.468	0.0099	-0.017
4.0	0.5937	0.0103	-0.0173
5.0	0.7188	0.0109	-0.0174
6.0	0.843	0.0116	-0.017
7.0	0.9663	0.0125	-0.016
8.0	1.088	0.0136	-0.0142
9.0	1.2017	0.0154	-0.0109
10.0	1.2911	0.0193	-0.0058
11.0	1.3337	0.0277	-0.0007
12.0	1.3199	0.0423	-0.0015
13.0	1.2567	0.0632	-0.0122
14.0	1.1743	0.0915	-0.0333
15.0	1.0966	0.1239	-0.057
16.0	1.0259	0.1595	-0.0777
17.0	0.9692	0.1962	-0.0921
18.0	0.9503	0.2251	-0.1024
19.0	0.9437	0.253	-0.1111
20.0	0.9382	0.2822	-0.1188
21.0	0.9419	0.2845	-0.1192
22.0	0.9531	0.2941	-0.1214
23.0	0.971	0.3143	-0.1263
24.0	0.9941	0.347	-0.1348
25.0	1.0203	0.3918	-0.1469
26.0	1.0474	0.4464	-0.1606
27.0	1.0726	0.5066	-0.1756
28.0	1.0936	0.5665	-0.1904
29.0	1.1082	0.6198	-0.2035
30.0	1.115	0.66	-0.2133
31.0	1.1175	0.6805	-0.221
32.0	1.12	0.701	-0.2287
33.0	1.1225	0.7215	-0.2363
34.0	1.125	0.742	-0.244
35.0	1.1275	0.7625	-0.2517
