C81 Table

Cl vs alpha & Mach
alpha	M0.1	M0.2	M0.3	M0.4	M0.5	M0.6	M0.7	M0.8
-52.00	  1.1040	  1.1040	  1.1040	  1.1040	  1.1040	  1.1040	  1.1040	  1.1040
-51.00	  1.0870	  1.0870	  1.0870	  1.0870	  1.0870	  1.0870	  1.0870	  1.0870
-50.00	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700
-49.00	  1.0530	  1.0530	  1.0530	  1.0530	  1.0530	  1.0530	  1.0530	  1.0530
-48.00	  1.0360	  1.0360	  1.0360	  1.0360	  1.0360	  1.0360	  1.0360	  1.0360
-47.00	  1.0190	  1.0190	  1.0190	  1.0190	  1.0190	  1.0190	  1.0190	  1.0190
-46.00	  1.0020	  1.0020	  1.0020	  1.0020	  1.0020	  1.0020	  1.0020	  1.0020
-45.00	  0.9850	  0.9850	  0.9850	  0.9850	  0.9850	  0.9850	  0.9850	  0.9850
-44.00	  0.9680	  0.9680	  0.9680	  0.9680	  0.9680	  0.9680	  0.9680	  0.9680
-43.00	  0.9510	  0.9510	  0.9510	  0.9510	  0.9510	  0.9510	  0.9510	  0.9510
-42.00	  0.9340	  0.9340	  0.9340	  0.9340	  0.9340	  0.9340	  0.9340	  0.9340
-41.00	  0.9170	  0.9170	  0.9170	  0.9170	  0.9170	  0.9170	  0.9170	  0.9170
-40.00	  0.9000	  0.9000	  0.9000	  0.9000	  0.9000	  0.9000	  0.9000	  0.9000
-39.00	  0.8740	  0.8740	  0.8740	  0.8740	  0.8740	  0.8740	  0.8740	  0.8740
-38.00	  0.8480	  0.8480	  0.8480	  0.8480	  0.8480	  0.8480	  0.8480	  0.8480
-37.00	  0.8220	  0.8220	  0.8220	  0.8220	  0.8220	  0.8220	  0.8220	  0.8220
-36.00	  0.7960	  0.7960	  0.7960	  0.7960	  0.7960	  0.7960	  0.7960	  0.7960
-35.00	  0.7700	  0.7700	  0.7700	  0.7700	  0.7700	  0.7700	  0.7700	  0.7700
-34.00	  0.7440	  0.7440	  0.7440	  0.7440	  0.7440	  0.7440	  0.7440	  0.7440
-33.00	  0.7180	  0.7180	  0.7180	  0.7180	  0.7180	  0.7180	  0.7180	  0.7180
-32.00	  0.6920	  0.6920	  0.6920	  0.6920	  0.6920	  0.6920	  0.6920	  0.6920
-31.00	  0.6660	  0.6660	  0.6660	  0.6660	  0.6660	  0.6660	  0.6660	  0.6660
-30.00	  0.6400	  0.6400	  0.6400	  0.6400	  0.6400	  0.6400	  0.6400	  0.6400
-29.00	  0.6140	  0.6140	  0.6140	  0.6140	  0.6140	  0.6140	  0.6140	  0.6140
-28.00	  0.5880	  0.5880	  0.5880	  0.5880	  0.5880	  0.5880	  0.5880	  0.5880
-27.00	  0.5620	  0.5620	  0.5620	  0.5620	  0.5620	  0.5620	  0.5620	  0.5620
-26.00	  0.5360	  0.5360	  0.5360	  0.5360	  0.5360	  0.5360	  0.5360	  0.5360
-25.00	  0.5100	  0.5100	  0.5100	  0.5100	  0.5100	  0.5100	  0.5100	  0.5100
-24.00	  0.4812	  0.4812	  0.4812	  0.4812	  0.4839	  0.4880	  0.4883	  0.4900
-23.00	  0.4524	  0.4524	  0.4524	  0.4524	  0.4579	  0.4660	  0.4665	  0.4700
-22.00	  0.4236	  0.4236	  0.4236	  0.4236	  0.4318	  0.4440	  0.4448	  0.4500
-21.00	  0.3948	  0.3948	  0.3948	  0.3948	  0.4058	  0.4220	  0.4231	  0.4300
-20.00	  0.3660	  0.3660	  0.3660	  0.3660	  0.3797	  0.4000	  0.4013	  0.4100
-19.00	  0.3300	  0.3300	  0.3300	  0.3303	  0.3473	  0.3716	  0.3796	  0.3900
-18.00	  0.2831	  0.2831	  0.2831	  0.2843	  0.3053	  0.3332	  0.3579	  0.3700
-17.00	  0.2309	  0.2309	  0.2309	  0.2334	  0.2588	  0.2893	  0.3361	  0.3500
-16.00	  0.1790	  0.1790	  0.1790	  0.1832	  0.2129	  0.2446	  0.3144	  0.3300
-15.00	  0.1325	  0.1325	  0.1325	  0.1386	  0.1718	  0.2035	  0.2926	  0.3100
-14.00	  0.0949	  0.0949	  0.0949	  0.1029	  0.1389	  0.1691	  0.2709	  0.2900
-13.00	  0.0680	  0.0680	  0.0680	  0.0777	  0.1155	  0.1435	  0.2439	  0.2650
-12.00	  0.0518	  0.0518	  0.0518	  0.0629	  0.1016	  0.1272	  0.2091	  0.2325
-11.00	  0.0445	  0.0445	  0.0445	  0.0564	  0.0955	  0.1190	  0.1706	  0.1964
-10.00	  0.0430	  0.0430	  0.0430	  0.0552	  0.0943	  0.1169	  0.1326	  0.1607
 -9.00	  0.0327	  0.0327	  0.0327	  0.0323	  0.0677	  0.0961	  0.0988	  0.1286
 -8.00	  0.0230	  0.0230	  0.0230	  0.0188	  0.0425	  0.0748	  0.0716	  0.1027
 -7.00	  0.0143	  0.0143	  0.0143	  0.0129	  0.0237	  0.0539	  0.0506	  0.0827
 -6.00	  0.0115	  0.0115	  0.0115	  0.0111	  0.0145	  0.0356	  0.0394	  0.0718
 -5.00	  0.0106	  0.0106	  0.0106	  0.0106	  0.0112	  0.0218	  0.0356	  0.0677
 -4.00	  0.0104	  0.0104	  0.0104	  0.0100	  0.0100	  0.0134	  0.0353	  0.0672
 -3.00	  0.0100	  0.0100	  0.0100	  0.0097	  0.0095	  0.0100	  0.0195	  0.0532
 -2.00	  0.0098	  0.0098	  0.0098	  0.0095	  0.0092	  0.0091	  0.0110	  0.0354
 -1.00	  0.0097	  0.0097	  0.0097	  0.0093	  0.0091	  0.0089	  0.0087	  0.0198
  0.00	  0.0097	  0.0097	  0.0097	  0.0093	  0.0091	  0.0089	  0.0087	  0.0165
  1.00	  0.0098	  0.0098	  0.0098	  0.0094	  0.0092	  0.0091	  0.0095	  0.0280
  2.00	  0.0100	  0.0100	  0.0100	  0.0096	  0.0094	  0.0094	  0.0132	  0.0472
  3.00	  0.0103	  0.0103	  0.0103	  0.0099	  0.0097	  0.0103	  0.0232	  0.0617
  4.00	  0.0107	  0.0107	  0.0107	  0.0103	  0.0102	  0.0136	  0.0405	  0.0746
  5.00	  0.0112	  0.0112	  0.0112	  0.0109	  0.0108	  0.0220	  0.0574	  0.0882
  6.00	  0.0118	  0.0118	  0.0118	  0.0116	  0.0117	  0.0347	  0.0711	  0.1029
  7.00	  0.0126	  0.0126	  0.0126	  0.0125	  0.0146	  0.0500	  0.0850	  0.1182
  8.00	  0.0136	  0.0136	  0.0136	  0.0136	  0.0226	  0.0683	  0.1013	  0.1339
  9.00	  0.0148	  0.0148	  0.0148	  0.0154	  0.0364	  0.0888	  0.1192	  0.1514
 10.00	  0.0160	  0.0160	  0.0160	  0.0193	  0.0556	  0.1088	  0.1382	  0.1716
 11.00	  0.0174	  0.0174	  0.0174	  0.0277	  0.0786	  0.1282	  0.1581	  0.1940
 12.00	  0.0192	  0.0192	  0.0192	  0.0423	  0.1042	  0.1481	  0.1790	  0.2182
 13.00	  0.0246	  0.0246	  0.0246	  0.0632	  0.1304	  0.1696	  0.2013	  0.2437
 14.00	  0.0357	  0.0357	  0.0357	  0.0915	  0.1559	  0.1927	  0.2248	  0.2700
 15.00	  0.0571	  0.0571	  0.0571	  0.1239	  0.1817	  0.2172	  0.2494	  0.2973
 16.00	  0.0949	  0.0949	  0.0949	  0.1595	  0.2082	  0.2431	  0.2751	  0.3242
 17.00	  0.1398	  0.1398	  0.1398	  0.1962	  0.2352	  0.2690	  0.3016	  0.3506
 18.00	  0.1806	  0.1806	  0.1806	  0.2251	  0.2622	  0.2959	  0.3283	  0.3762
 19.00	  0.2173	  0.2173	  0.2173	  0.2530	  0.2897	  0.3252	  0.3523	  0.3968
 20.00	  0.2518	  0.2518	  0.2518	  0.2822	  0.3171	  0.3578	  0.3811	  0.4092
 21.00	  0.2546	  0.2546	  0.2546	  0.2845	  0.3196	  0.3605	  0.3856	  0.4150
 22.00	  0.2657	  0.2657	  0.2657	  0.2941	  0.3295	  0.3704	  0.3997	  0.4318
 23.00	  0.2885	  0.2885	  0.2885	  0.3143	  0.3493	  0.3893	  0.4235	  0.4583
 24.00	  0.3247	  0.3247	  0.3247	  0.3470	  0.3804	  0.4180	  0.4558	  0.4921
 25.00	  0.3737	  0.3737	  0.3737	  0.3918	  0.4220	  0.4556	  0.4944	  0.5301
 26.00	  0.4328	  0.4328	  0.4328	  0.4464	  0.4718	  0.4998	  0.5363	  0.5686
 27.00	  0.4975	  0.4975	  0.4975	  0.5066	  0.5259	  0.5470	  0.5776	  0.6040
 28.00	  0.5615	  0.5615	  0.5615	  0.5665	  0.5791	  0.5926	  0.6145	  0.6328
 29.00	  0.6179	  0.6179	  0.6179	  0.6198	  0.6256	  0.6318	  0.6430	  0.6521
 30.00	  0.6600	  0.6600	  0.6600	  0.6600	  0.6600	  0.6600	  0.6600	  0.6600
 31.00	  0.6805	  0.6805	  0.6805	  0.6805	  0.6805	  0.6805	  0.6805	  0.6805
 32.00	  0.7010	  0.7010	  0.7010	  0.7010	  0.7010	  0.7010	  0.7010	  0.7010
 33.00	  0.7215	  0.7215	  0.7215	  0.7215	  0.7215	  0.7215	  0.7215	  0.7215
 34.00	  0.7420	  0.7420	  0.7420	  0.7420	  0.7420	  0.7420	  0.7420	  0.7420
 35.00	  0.7625	  0.7625	  0.7625	  0.7625	  0.7625	  0.7625	  0.7625	  0.7625
 36.00	  0.7830	  0.7830	  0.7830	  0.7830	  0.7830	  0.7830	  0.7830	  0.7830
 37.00	  0.8035	  0.8035	  0.8035	  0.8035	  0.8035	  0.8035	  0.8035	  0.8035
 38.00	  0.8240	  0.8240	  0.8240	  0.8240	  0.8240	  0.8240	  0.8240	  0.8240
 39.00	  0.8445	  0.8445	  0.8445	  0.8445	  0.8445	  0.8445	  0.8445	  0.8445
 40.00	  0.8650	  0.8650	  0.8650	  0.8650	  0.8650	  0.8650	  0.8650	  0.8650
 41.00	  0.8855	  0.8855	  0.8855	  0.8855	  0.8855	  0.8855	  0.8855	  0.8855
 42.00	  0.9060	  0.9060	  0.9060	  0.9060	  0.9060	  0.9060	  0.9060	  0.9060
 43.00	  0.9265	  0.9265	  0.9265	  0.9265	  0.9265	  0.9265	  0.9265	  0.9265
 44.00	  0.9470	  0.9470	  0.9470	  0.9470	  0.9470	  0.9470	  0.9470	  0.9470
 45.00	  0.9675	  0.9675	  0.9675	  0.9675	  0.9675	  0.9675	  0.9675	  0.9675
 46.00	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880	  0.9880
 47.00	  1.0085	  1.0085	  1.0085	  1.0085	  1.0085	  1.0085	  1.0085	  1.0085
 48.00	  1.0290	  1.0290	  1.0290	  1.0290	  1.0290	  1.0290	  1.0290	  1.0290
 49.00	  1.0495	  1.0495	  1.0495	  1.0495	  1.0495	  1.0495	  1.0495	  1.0495
 50.00	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700	  1.0700
 51.00	  1.0843	  1.0843	  1.0843	  1.0843	  1.0843	  1.0843	  1.0843	  1.0843
 52.00	  1.0987	  1.0987	  1.0987	  1.0987	  1.0987	  1.0987	  1.0987	  1.0987
 53.00	  1.1130	  1.1130	  1.1130	  1.1130	  1.1130	  1.1130	  1.1130	  1.1130
 54.00	  1.1273	  1.1273	  1.1273	  1.1273	  1.1273	  1.1273	  1.1273	  1.1273
 55.00	  1.1417	  1.1417	  1.1417	  1.1417	  1.1417	  1.1417	  1.1417	  1.1417
 56.00	  1.1560	  1.1560	  1.1560	  1.1560	  1.1560	  1.1560	  1.1560	  1.1560
 57.00	  1.1703	  1.1703	  1.1703	  1.1703	  1.1703	  1.1703	  1.1703	  1.1703
 58.00	  1.1847	  1.1847	  1.1847	  1.1847	  1.1847	  1.1847	  1.1847	  1.1847
 59.00	  1.1990	  1.1990	  1.1990	  1.1990	  1.1990	  1.1990	  1.1990	  1.1990
 60.00	  1.2133	  1.2133	  1.2133	  1.2133	  1.2133	  1.2133	  1.2133	  1.2133
 61.00	  1.2277	  1.2277	  1.2277	  1.2277	  1.2277	  1.2277	  1.2277	  1.2277
 62.00	  1.2420	  1.2420	  1.2420	  1.2420	  1.2420	  1.2420	  1.2420	  1.2420
 63.00	  1.2563	  1.2563	  1.2563	  1.2563	  1.2563	  1.2563	  1.2563	  1.2563
 64.00	  1.2707	  1.2707	  1.2707	  1.2707	  1.2707	  1.2707	  1.2707	  1.2707
 65.00	  1.2850	  1.2850	  1.2850	  1.2850	  1.2850	  1.2850	  1.2850	  1.2850
 66.00	  1.2993	  1.2993	  1.2993	  1.2993	  1.2993	  1.2993	  1.2993	  1.2993
 67.00	  1.3137	  1.3137	  1.3137	  1.3137	  1.3137	  1.3137	  1.3137	  1.3137
 68.00	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280
 69.00	  1.3423	  1.3423	  1.3423	  1.3423	  1.3423	  1.3423	  1.3423	  1.3423
 70.00	  1.3567	  1.3567	  1.3567	  1.3567	  1.3567	  1.3567	  1.3567	  1.3567
 71.00	  1.3710	  1.3710	  1.3710	  1.3710	  1.3710	  1.3710	  1.3710	  1.3710
 72.00	  1.3853	  1.3853	  1.3853	  1.3853	  1.3853	  1.3853	  1.3853	  1.3853
 73.00	  1.3997	  1.3997	  1.3997	  1.3997	  1.3997	  1.3997	  1.3997	  1.3997
 74.00	  1.4140	  1.4140	  1.4140	  1.4140	  1.4140	  1.4140	  1.4140	  1.4140
 75.00	  1.4283	  1.4283	  1.4283	  1.4283	  1.4283	  1.4283	  1.4283	  1.4283
 76.00	  1.4427	  1.4427	  1.4427	  1.4427	  1.4427	  1.4427	  1.4427	  1.4427
 77.00	  1.4570	  1.4570	  1.4570	  1.4570	  1.4570	  1.4570	  1.4570	  1.4570
 78.00	  1.4713	  1.4713	  1.4713	  1.4713	  1.4713	  1.4713	  1.4713	  1.4713
 79.00	  1.4857	  1.4857	  1.4857	  1.4857	  1.4857	  1.4857	  1.4857	  1.4857
 80.00	  1.5000	  1.5000	  1.5000	  1.5000	  1.5000	  1.5000	  1.5000	  1.5000
 81.00	  1.5060	  1.5060	  1.5060	  1.5060	  1.5060	  1.5060	  1.5060	  1.5060
 82.00	  1.5120	  1.5120	  1.5120	  1.5120	  1.5120	  1.5120	  1.5120	  1.5120
 83.00	  1.5180	  1.5180	  1.5180	  1.5180	  1.5180	  1.5180	  1.5180	  1.5180
 84.00	  1.5240	  1.5240	  1.5240	  1.5240	  1.5240	  1.5240	  1.5240	  1.5240
 85.00	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300
 86.00	  1.5360	  1.5360	  1.5360	  1.5360	  1.5360	  1.5360	  1.5360	  1.5360
 87.00	  1.5420	  1.5420	  1.5420	  1.5420	  1.5420	  1.5420	  1.5420	  1.5420
 88.00	  1.5480	  1.5480	  1.5480	  1.5480	  1.5480	  1.5480	  1.5480	  1.5480
 89.00	  1.5540	  1.5540	  1.5540	  1.5540	  1.5540	  1.5540	  1.5540	  1.5540
 90.00	  1.5600	  1.5600	  1.5600	  1.5600	  1.5600	  1.5600	  1.5600	  1.5600
 91.00	  1.5550	  1.5550	  1.5550	  1.5550	  1.5550	  1.5550	  1.5550	  1.5550
 92.00	  1.5500	  1.5500	  1.5500	  1.5500	  1.5500	  1.5500	  1.5500	  1.5500
 93.00	  1.5450	  1.5450	  1.5450	  1.5450	  1.5450	  1.5450	  1.5450	  1.5450
 94.00	  1.5400	  1.5400	  1.5400	  1.5400	  1.5400	  1.5400	  1.5400	  1.5400
 95.00	  1.5350	  1.5350	  1.5350	  1.5350	  1.5350	  1.5350	  1.5350	  1.5350
 96.00	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300	  1.5300
 97.00	  1.5250	  1.5250	  1.5250	  1.5250	  1.5250	  1.5250	  1.5250	  1.5250
 98.00	  1.5200	  1.5200	  1.5200	  1.5200	  1.5200	  1.5200	  1.5200	  1.5200
 99.00	  1.5150	  1.5150	  1.5150	  1.5150	  1.5150	  1.5150	  1.5150	  1.5150
100.00	  1.5100	  1.5100	  1.5100	  1.5100	  1.5100	  1.5100	  1.5100	  1.5100
101.00	  1.4960	  1.4960	  1.4960	  1.4960	  1.4960	  1.4960	  1.4960	  1.4960
102.00	  1.4820	  1.4820	  1.4820	  1.4820	  1.4820	  1.4820	  1.4820	  1.4820
103.00	  1.4680	  1.4680	  1.4680	  1.4680	  1.4680	  1.4680	  1.4680	  1.4680
104.00	  1.4540	  1.4540	  1.4540	  1.4540	  1.4540	  1.4540	  1.4540	  1.4540
105.00	  1.4400	  1.4400	  1.4400	  1.4400	  1.4400	  1.4400	  1.4400	  1.4400
106.00	  1.4260	  1.4260	  1.4260	  1.4260	  1.4260	  1.4260	  1.4260	  1.4260
107.00	  1.4120	  1.4120	  1.4120	  1.4120	  1.4120	  1.4120	  1.4120	  1.4120
108.00	  1.3980	  1.3980	  1.3980	  1.3980	  1.3980	  1.3980	  1.3980	  1.3980
109.00	  1.3840	  1.3840	  1.3840	  1.3840	  1.3840	  1.3840	  1.3840	  1.3840
110.00	  1.3700	  1.3700	  1.3700	  1.3700	  1.3700	  1.3700	  1.3700	  1.3700
111.00	  1.3560	  1.3560	  1.3560	  1.3560	  1.3560	  1.3560	  1.3560	  1.3560
112.00	  1.3420	  1.3420	  1.3420	  1.3420	  1.3420	  1.3420	  1.3420	  1.3420
113.00	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280	  1.3280
114.00	  1.3140	  1.3140	  1.3140	  1.3140	  1.3140	  1.3140	  1.3140	  1.3140
115.00	  1.3000	  1.3000	  1.3000	  1.3000	  1.3000	  1.3000	  1.3000	  1.3000
116.00	  1.2860	  1.2860	  1.2860	  1.2860	  1.2860	  1.2860	  1.2860	  1.2860
117.00	  1.2720	  1.2720	  1.2720	  1.2720	  1.2720	  1.2720	  1.2720	  1.2720
118.00	  1.2580	  1.2580	  1.2580	  1.2580	  1.2580	  1.2580	  1.2580	  1.2580
119.00	  1.2440	  1.2440	  1.2440	  1.2440	  1.2440	  1.2440	  1.2440	  1.2440
120.00	  1.2300	  1.2300	  1.2300	  1.2300	  1.2300	  1.2300	  1.2300	  1.2300
121.00	  1.2130	  1.2130	  1.2130	  1.2130	  1.2130	  1.2130	  1.2130	  1.2130
122.00	  1.1960	  1.1960	  1.1960	  1.1960	  1.1960	  1.1960	  1.1960	  1.1960
123.00	  1.1790	  1.1790	  1.1790	  1.1790	  1.1790	  1.1790	  1.1790	  1.1790
124.00	  1.1620	  1.1620	  1.1620	  1.1620	  1.1620	  1.1620	  1.1620	  1.1620
125.00	  1.1450	  1.1450	  1.1450	  1.1450	  1.1450	  1.1450	  1.1450	  1.1450
126.00	  1.1280	  1.1280	  1.1280	  1.1280	  1.1280	  1.1280	  1.1280	  1.1280
127.00	  1.1110	  1.1110	  1.1110	  1.1110	  1.1110	  1.1110	  1.1110	  1.1110
128.00	  1.0940	  1.0940	  1.0940	  1.0940	  1.0940	  1.0940	  1.0940	  1.0940
129.00	  1.0770	  1.0770	  1.0770	  1.0770	  1.0770	  1.0770	  1.0770	  1.0770
130.00	  1.0600	  1.0600	  1.0600	  1.0600	  1.0600	  1.0600	  1.0600	  1.0600
131.00	  1.0430	  1.0430	  1.0430	  1.0430	  1.0430	  1.0430	  1.0430	  1.0430
132.00	  1.0260	  1.0260	  1.0260	  1.0260	  1.0260	  1.0260	  1.0260	  1.0260
133.00	  1.0090	  1.0090	  1.0090	  1.0090	  1.0090	  1.0090	  1.0090	  1.0090
134.00	  0.9920	  0.9920	  0.9920	  0.9920	  0.9920	  0.9920	  0.9920	  0.9920
135.00	  0.9750	  0.9750	  0.9750	  0.9750	  0.9750	  0.9750	  0.9750	  0.9750
136.00	  0.9580	  0.9580	  0.9580	  0.9580	  0.9580	  0.9580	  0.9580	  0.9580
137.00	  0.9410	  0.9410	  0.9410	  0.9410	  0.9410	  0.9410	  0.9410	  0.9410
138.00	  0.9240	  0.9240	  0.9240	  0.9240	  0.9240	  0.9240	  0.9240	  0.9240
139.00	  0.9070	  0.9070	  0.9070	  0.9070	  0.9070	  0.9070	  0.9070	  0.9070
140.00	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900	  0.8900
141.00	  0.8640	  0.8640	  0.8640	  0.8640	  0.8640	  0.8640	  0.8640	  0.8640
142.00	  0.8380	  0.8380	  0.8380	  0.8380	  0.8380	  0.8380	  0.8380	  0.8380
143.00	  0.8120	  0.8120	  0.8120	  0.8120	  0.8120	  0.8120	  0.8120	  0.8120
144.00	  0.7860	  0.7860	  0.7860	  0.7860	  0.7860	  0.7860	  0.7860	  0.7860
145.00	  0.7600	  0.7600	  0.7600	  0.7600	  0.7600	  0.7600	  0.7600	  0.7600
146.00	  0.7340	  0.7340	  0.7340	  0.7340	  0.7340	  0.7340	  0.7340	  0.7340
147.00	  0.7080	  0.7080	  0.7080	  0.7080	  0.7080	  0.7080	  0.7080	  0.7080
148.00	  0.6820	  0.6820	  0.6820	  0.6820	  0.6820	  0.6820	  0.6820	  0.6820
149.00	  0.6560	  0.6560	  0.6560	  0.6560	  0.6560	  0.6560	  0.6560	  0.6560
150.00	  0.6300	  0.6300	  0.6300	  0.6300	  0.6300	  0.6300	  0.6300	  0.6300
151.00	  0.6040	  0.6040	  0.6040	  0.6040	  0.6040	  0.6040	  0.6040	  0.6040
152.00	  0.5780	  0.5780	  0.5780	  0.5780	  0.5780	  0.5780	  0.5780	  0.5780
153.00	  0.5520	  0.5520	  0.5520	  0.5520	  0.5520	  0.5520	  0.5520	  0.5520
154.00	  0.5260	  0.5260	  0.5260	  0.5260	  0.5260	  0.5260	  0.5260	  0.5260
155.00	  0.5000	  0.5000	  0.5000	  0.5000	  0.5000	  0.5000	  0.5000	  0.5000
156.00	  0.4689	  0.4689	  0.4689	  0.4689	  0.4689	  0.4689	  0.4689	  0.4689
157.00	  0.4378	  0.4378	  0.4378	  0.4378	  0.4378	  0.4378	  0.4378	  0.4378
158.00	  0.4067	  0.4067	  0.4067	  0.4067	  0.4067	  0.4067	  0.4067	  0.4067
159.00	  0.3756	  0.3756	  0.3756	  0.3756	  0.3756	  0.3756	  0.3756	  0.3756
160.00	  0.3444	  0.3444	  0.3444	  0.3444	  0.3444	  0.3444	  0.3444	  0.3444
161.00	  0.3133	  0.3133	  0.3133	  0.3133	  0.3133	  0.3133	  0.3133	  0.3133
162.00	  0.2822	  0.2822	  0.2822	  0.2822	  0.2822	  0.2822	  0.2822	  0.2822
163.00	  0.2511	  0.2511	  0.2511	  0.2511	  0.2511	  0.2511	  0.2511	  0.2511
164.00	  0.2200	  0.2200	  0.2200	  0.2200	  0.2200	  0.2200	  0.2200	  0.2200
165.00	  0.2017	  0.2017	  0.2017	  0.2017	  0.2017	  0.2017	  0.2017	  0.2017
166.00	  0.1833	  0.1833	  0.1833	  0.1833	  0.1833	  0.1833	  0.1833	  0.1833
167.00	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650
168.00	  0.1467	  0.1467	  0.1467	  0.1467	  0.1467	  0.1467	  0.1467	  0.1467
169.00	  0.1283	  0.1283	  0.1283	  0.1283	  0.1283	  0.1283	  0.1283	  0.1283
170.00	  0.1100	  0.1100	  0.1100	  0.1100	  0.1100	  0.1100	  0.1100	  0.1100
171.00	  0.0960	  0.0960	  0.0960	  0.0960	  0.0960	  0.0960	  0.0960	  0.0960
172.00	  0.0820	  0.0820	  0.0820	  0.0820	  0.0820	  0.0820	  0.0820	  0.0820
173.00	  0.0680	  0.0680	  0.0680	  0.0680	  0.0680	  0.0680	  0.0680	  0.0680
174.00	  0.0540	  0.0540	  0.0540	  0.0540	  0.0540	  0.0540	  0.0540	  0.0540
175.00	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400
176.00	  0.0350	  0.0350	  0.0350	  0.0350	  0.0350	  0.0350	  0.0350	  0.0350
177.00	  0.0300	  0.0300	  0.0300	  0.0300	  0.0300	  0.0300	  0.0300	  0.0300
178.00	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250
179.00	  0.0200	  0.0200	  0.0200	  0.0200	  0.0200	  0.0200	  0.0200	  0.0200
180.00	  0.0150	  0.0150	  0.0150	  0.0150	  0.0150	  0.0150	  0.0150	  0.0150

Cm vs alpha & Mach
alpha	M0.1	M0.2	M0.3	M0.4	M0.5	M0.6	M0.7	M0.8
-180.00	 -0.0400	 -0.0400	 -0.0400	 -0.0400	 -0.0400	 -0.0400	 -0.0400	 -0.0400
-179.00	  0.0112	  0.0112	  0.0112	  0.0112	  0.0112	  0.0112	  0.0112	  0.0112
-178.00	  0.0625	  0.0625	  0.0625	  0.0625	  0.0625	  0.0625	  0.0625	  0.0625
-177.00	  0.1138	  0.1138	  0.1138	  0.1138	  0.1138	  0.1138	  0.1138	  0.1138
-176.00	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650	  0.1650
-175.00	  0.2162	  0.2162	  0.2162	  0.2162	  0.2162	  0.2162	  0.2162	  0.2162
-174.00	  0.2675	  0.2675	  0.2675	  0.2675	  0.2675	  0.2675	  0.2675	  0.2675
-173.00	  0.3188	  0.3188	  0.3188	  0.3188	  0.3188	  0.3188	  0.3188	  0.3188
-172.00	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700
-171.00	  0.3650	  0.3650	  0.3650	  0.3650	  0.3650	  0.3650	  0.3650	  0.3650
-170.00	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600
-169.00	  0.3550	  0.3550	  0.3550	  0.3550	  0.3550	  0.3550	  0.3550	  0.3550
-168.00	  0.3500	  0.3500	  0.3500	  0.3500	  0.3500	  0.3500	  0.3500	  0.3500
-167.00	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600	  0.3600
-166.00	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700	  0.3700
-165.00	  0.3800	  0.3800	  0.3800	  0.3800	  0.3800	  0.3800	  0.3800	  0.3800
-164.00	  0.3900	  0.3900	  0.3900	  0.3900	  0.3900	  0.3900	  0.3900	  0.3900
-163.00	  0.3938	  0.3938	  0.3938	  0.3938	  0.3938	  0.3938	  0.3938	  0.3938
-162.00	  0.3975	  0.3975	  0.3975	  0.3975	  0.3975	  0.3975	  0.3975	  0.3975
-161.00	  0.4012	  0.4012	  0.4012	  0.4012	  0.4012	  0.4012	  0.4012	  0.4012
-160.00	  0.4050	  0.4050	  0.4050	  0.4050	  0.4050	  0.4050	  0.4050	  0.4050
-159.00	  0.4088	  0.4088	  0.4088	  0.4088	  0.4088	  0.4088	  0.4088	  0.4088
-158.00	  0.4125	  0.4125	  0.4125	  0.4125	  0.4125	  0.4125	  0.4125	  0.4125
-157.00	  0.4162	  0.4162	  0.4162	  0.4162	  0.4162	  0.4162	  0.4162	  0.4162
-156.00	  0.4200	  0.4200	  0.4200	  0.4200	  0.4200	  0.4200	  0.4200	  0.4200
-155.00	  0.4242	  0.4242	  0.4242	  0.4242	  0.4242	  0.4242	  0.4242	  0.4242
-154.00	  0.4283	  0.4283	  0.4283	  0.4283	  0.4283	  0.4283	  0.4283	  0.4283
-153.00	  0.4325	  0.4325	  0.4325	  0.4325	  0.4325	  0.4325	  0.4325	  0.4325
-152.00	  0.4367	  0.4367	  0.4367	  0.4367	  0.4367	  0.4367	  0.4367	  0.4367
-151.00	  0.4408	  0.4408	  0.4408	  0.4408	  0.4408	  0.4408	  0.4408	  0.4408
