C81 Table

Cl vs alpha & Mach
alpha	M0.1	M0.2	M0.3	M0.4	M0.5	M0.6	M0.7	M0.8
-121.00	  0.7270	  0.7270	  0.7270	  0.7270	  0.7270	  0.7270	  0.7270	  0.7270
-120.00	  0.7155	  0.7155	  0.7155	  0.7155	  0.7155	  0.7155	  0.7155	  0.7155
-119.00	  0.7040	  0.7040	  0.7040	  0.7040	  0.7040	  0.7040	  0.7040	  0.7040
-118.00	  0.6925	  0.6925	  0.6925	  0.6925	  0.6925	  0.6925	  0.6925	  0.6925
-117.00	  0.6810	  0.6810	  0.6810	  0.6810	  0.6810	  0.6810	  0.6810	  0.6810
-116.00	  0.6695	  0.6695	  0.6695	  0.6695	  0.6695	  0.6695	  0.6695	  0.6695
-115.00	  0.6580	  0.6580	  0.6580	  0.6580	  0.6580	  0.6580	  0.6580	  0.6580
-114.00	  0.6465	  0.6465	  0.6465	  0.6465	  0.6465	  0.6465	  0.6465	  0.6465
-113.00	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350
-112.00	  0.6073	  0.6073	  0.6073	  0.6073	  0.6073	  0.6073	  0.6073	  0.6073
-111.00	  0.5795	  0.5795	  0.5795	  0.5795	  0.5795	  0.5795	  0.5795	  0.5795
-110.00	  0.5518	  0.5518	  0.5518	  0.5518	  0.5518	  0.5518	  0.5518	  0.5518
-109.00	  0.5241	  0.5241	  0.5241	  0.5241	  0.5241	  0.5241	  0.5241	  0.5241
-108.00	  0.4964	  0.4964	  0.4964	  0.4964	  0.4964	  0.4964	  0.4964	  0.4964
-107.00	  0.4686	  0.4686	  0.4686	  0.4686	  0.4686	  0.4686	  0.4686	  0.4686
-106.00	  0.4409	  0.4409	  0.4409	  0.4409	  0.4409	  0.4409	  0.4409	  0.4409
-105.00	  0.4132	  0.4132	  0.4132	  0.4132	  0.4132	  0.4132	  0.4132	  0.4132
-104.00	  0.3855	  0.3855	  0.3855	  0.3855	  0.3855	  0.3855	  0.3855	  0.3855
-103.00	  0.3577	  0.3577	  0.3577	  0.3577	  0.3577	  0.3577	  0.3577	  0.3577
-102.00	  0.3300	  0.3300	  0.3300	  0.3300	  0.3300	  0.3300	  0.3300	  0.3300
-101.00	  0.3023	  0.3023	  0.3023	  0.3023	  0.3023	  0.3023	  0.3023	  0.3023
-100.00	  0.2745	  0.2745	  0.2745	  0.2745	  0.2745	  0.2745	  0.2745	  0.2745
-99.00	  0.2468	  0.2468	  0.2468	  0.2468	  0.2468	  0.2468	  0.2468	  0.2468
-98.00	  0.2191	  0.2191	  0.2191	  0.2191	  0.2191	  0.2191	  0.2191	  0.2191
-97.00	  0.1914	  0.1914	  0.1914	  0.1914	  0.1914	  0.1914	  0.1914	  0.1914
-96.00	  0.1636	  0.1636	  0.1636	  0.1636	  0.1636	  0.1636	  0.1636	  0.1636
-95.00	  0.1359	  0.1359	  0.1359	  0.1359	  0.1359	  0.1359	  0.1359	  0.1359
-94.00	  0.1082	  0.1082	  0.1082	  0.1082	  0.1082	  0.1082	  0.1082	  0.1082
-93.00	  0.0805	  0.0805	  0.0805	  0.0805	  0.0805	  0.0805	  0.0805	  0.0805
-92.00	  0.0527	  0.0527	  0.0527	  0.0527	  0.0527	  0.0527	  0.0527	  0.0527
-91.00	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250	  0.0250
-90.00	 -0.0027	 -0.0027	 -0.0027	 -0.0027	 -0.0027	 -0.0027	 -0.0027	 -0.0027
-89.00	 -0.0305	 -0.0305	 -0.0305	 -0.0305	 -0.0305	 -0.0305	 -0.0305	 -0.0305
-88.00	 -0.0582	 -0.0582	 -0.0582	 -0.0582	 -0.0582	 -0.0582	 -0.0582	 -0.0582
-87.00	 -0.0859	 -0.0859	 -0.0859	 -0.0859	 -0.0859	 -0.0859	 -0.0859	 -0.0859
-86.00	 -0.1136	 -0.1136	 -0.1136	 -0.1136	 -0.1136	 -0.1136	 -0.1136	 -0.1136
-85.00	 -0.1414	 -0.1414	 -0.1414	 -0.1414	 -0.1414	 -0.1414	 -0.1414	 -0.1414
-84.00	 -0.1691	 -0.1691	 -0.1691	 -0.1691	 -0.1691	 -0.1691	 -0.1691	 -0.1691
-83.00	 -0.1968	 -0.1968	 -0.1968	 -0.1968	 -0.1968	 -0.1968	 -0.1968	 -0.1968
-82.00	 -0.2245	 -0.2245	 -0.2245	 -0.2245	 -0.2245	 -0.2245	 -0.2245	 -0.2245
-81.00	 -0.2523	 -0.2523	 -0.2523	 -0.2523	 -0.2523	 -0.2523	 -0.2523	 -0.2523
-80.00	 -0.2800	 -0.2800	 -0.2800	 -0.2800	 -0.2800	 -0.2800	 -0.2800	 -0.2800
-79.00	 -0.3077	 -0.3077	 -0.3077	 -0.3077	 -0.3077	 -0.3077	 -0.3077	 -0.3077
-78.00	 -0.3355	 -0.3355	 -0.3355	 -0.3355	 -0.3355	 -0.3355	 -0.3355	 -0.3355
-77.00	 -0.3632	 -0.3632	 -0.3632	 -0.3632	 -0.3632	 -0.3632	 -0.3632	 -0.3632
-76.00	 -0.3909	 -0.3909	 -0.3909	 -0.3909	 -0.3909	 -0.3909	 -0.3909	 -0.3909
-75.00	 -0.4186	 -0.4186	 -0.4186	 -0.4186	 -0.4186	 -0.4186	 -0.4186	 -0.4186
-74.00	 -0.4464	 -0.4464	 -0.4464	 -0.4464	 -0.4464	 -0.4464	 -0.4464	 -0.4464
-73.00	 -0.4741	 -0.4741	 -0.4741	 -0.4741	 -0.4741	 -0.4741	 -0.4741	 -0.4741
-72.00	 -0.5018	 -0.5018	 -0.5018	 -0.5018	 -0.5018	 -0.5018	 -0.5018	 -0.5018
-71.00	 -0.5295	 -0.5295	 -0.5295	 -0.5295	 -0.5295	 -0.5295	 -0.5295	 -0.5295
-70.00	 -0.5573	 -0.5573	 -0.5573	 -0.5573	 -0.5573	 -0.5573	 -0.5573	 -0.5573
-69.00	 -0.5850	 -0.5850	 -0.5850	 -0.5850	 -0.5850	 -0.5850	 -0.5850	 -0.5850
-68.00	 -0.6127	 -0.6127	 -0.6127	 -0.6127	 -0.6127	 -0.6127	 -0.6127	 -0.6127
-67.00	 -0.6405	 -0.6405	 -0.6405	 -0.6405	 -0.6405	 -0.6405	 -0.6405	 -0.6405
-66.00	 -0.6682	 -0.6682	 -0.6682	 -0.6682	 -0.6682	 -0.6682	 -0.6682	 -0.6682
-65.00	 -0.6959	 -0.6959	 -0.6959	 -0.6959	 -0.6959	 -0.6959	 -0.6959	 -0.6959
-64.00	 -0.7236	 -0.7236	 -0.7236	 -0.7236	 -0.7236	 -0.7236	 -0.7236	 -0.7236
-63.00	 -0.7514	 -0.7514	 -0.7514	 -0.7514	 -0.7514	 -0.7514	 -0.7514	 -0.7514
-62.00	 -0.7791	 -0.7791	 -0.7791	 -0.7791	 -0.7791	 -0.7791	 -0.7791	 -0.7791
-61.00	 -0.8068	 -0.8068	 -0.8068	 -0.8068	 -0.8068	 -0.8068	 -0.8068	 -0.8068
-60.00	 -0.8345	 -0.8345	 -0.8345	 -0.8345	 -0.8345	 -0.8345	 -0.8345	 -0.8345
-59.00	 -0.8623	 -0.8623	 -0.8623	 -0.8623	 -0.8623	 -0.8623	 -0.8623	 -0.8623
-58.00	 -0.8900	 -0.8900	 -0.8900	 -0.8900	 -0.8900	 -0.8900	 -0.8900	 -0.8900
-57.00	 -0.9025	 -0.9025	 -0.9025	 -0.9025	 -0.9025	 -0.9025	 -0.9025	 -0.9025
-56.00	 -0.9150	 -0.9150	 -0.9150	 -0.9150	 -0.9150	 -0.9150	 -0.9150	 -0.9150
-55.00	 -0.9275	 -0.9275	 -0.9275	 -0.9275	 -0.9275	 -0.9275	 -0.9275	 -0.9275
-54.00	 -0.9400	 -0.9400	 -0.9400	 -0.9400	 -0.9400	 -0.9400	 -0.9400	 -0.9400
-53.00	 -0.9525	 -0.9525	 -0.9525	 -0.9525	 -0.9525	 -0.9525	 -0.9525	 -0.9525
-52.00	 -0.9650	 -0.9650	 -0.9650	 -0.9650	 -0.9650	 -0.9650	 -0.9650	 -0.9650
-51.00	 -0.9775	 -0.9775	 -0.9775	 -0.9775	 -0.9775	 -0.9775	 -0.9775	 -0.9775
-50.00	 -0.9900	 -0.9900	 -0.9900	 -0.9900	 -0.9900	 -0.9900	 -0.9900	 -0.9900
-49.00	 -1.0025	 -1.0025	 -1.0025	 -1.0025	 -1.0025	 -1.0025	 -1.0025	 -1.0025
-48.00	 -1.0150	 -1.0150	 -1.0150	 -1.0150	 -1.0150	 -1.0150	 -1.0150	 -1.0150
-47.00	 -1.0275	 -1.0275	 -1.0275	 -1.0275	 -1.0275	 -1.0275	 -1.0275	 -1.0275
-46.00	 -1.0400	 -1.0400	 -1.0400	 -1.0400	 -1.0400	 -1.0400	 -1.0400	 -1.0400
-45.00	 -1.0525	 -1.0525	 -1.0525	 -1.0525	 -1.0525	 -1.0525	 -1.0525	 -1.0525
-44.00	 -1.0650	 -1.0650	 -1.0650	 -1.0650	 -1.0650	 -1.0650	 -1.0650	 -1.0650
-43.00	 -1.0775	 -1.0775	 -1.0775	 -1.0775	 -1.0775	 -1.0775	 -1.0775	 -1.0775
-42.00	 -1.0900	 -1.0900	 -1.0900	 -1.0900	 -1.0900	 -1.0900	 -1.0900	 -1.0900
-41.00	 -1.1025	 -1.1025	 -1.1025	 -1.1025	 -1.1025	 -1.1025	 -1.1025	 -1.1025
-40.00	 -1.1150	 -1.1150	 -1.1150	 -1.1150	 -1.1150	 -1.1150	 -1.1150	 -1.1150
-39.00	 -1.1275	 -1.1275	 -1.1275	 -1.1275	 -1.1275	 -1.1275	 -1.1275	 -1.1275
-38.00	 -1.1400	 -1.1400	 -1.1400	 -1.1400	 -1.1400	 -1.1400	 -1.1400	 -1.1400
-37.00	 -1.1339	 -1.1339	 -1.1339	 -1.1361	 -1.1394	 -1.1400	 -1.1249	 -1.1236
-36.00	 -1.1278	 -1.1278	 -1.1278	 -1.1322	 -1.1389	 -1.1400	 -1.1098	 -1.1072
-35.00	 -1.1217	 -1.1217	 -1.1217	 -1.1283	 -1.1383	 -1.1400	 -1.0947	 -1.0908
-34.00	 -1.1156	 -1.1156	 -1.1156	 -1.1244	 -1.1378	 -1.1400	 -1.0796	 -1.0744
-33.00	 -1.1094	 -1.1094	 -1.1094	 -1.1206	 -1.1372	 -1.1400	 -1.0644	 -1.0581
-32.00	 -1.1033	 -1.1033	 -1.1033	 -1.1167	 -1.1367	 -1.1400	 -1.0493	 -1.0417
-31.00	 -1.0972	 -1.0972	 -1.0972	 -1.1128	 -1.1361	 -1.1400	 -1.0342	 -1.0253
-30.00	 -1.0911	 -1.0911	 -1.0911	 -1.1089	 -1.1356	 -1.1400	 -1.0191	 -1.0089
-29.00	 -1.0850	 -1.0850	 -1.0850	 -1.1050	 -1.1350	 -1.1400	 -1.0040	 -0.9925
-28.00	 -1.0789	 -1.0789	 -1.0789	 -1.1011	 -1.1344	 -1.1400	 -0.9889	 -0.9761
-27.00	 -1.0728	 -1.0728	 -1.0728	 -1.0972	 -1.1339	 -1.1400	 -0.9738	 -0.9597
-26.00	 -1.0667	 -1.0667	 -1.0667	 -1.0933	 -1.1333	 -1.1400	 -0.9587	 -0.9433
-25.00	 -1.0606	 -1.0606	 -1.0606	 -1.0894	 -1.1328	 -1.1400	 -0.9436	 -0.9269
-24.00	 -1.0544	 -1.0544	 -1.0544	 -1.0856	 -1.1322	 -1.1400	 -0.9284	 -0.9106
-23.00	 -1.0483	 -1.0483	 -1.0483	 -1.0817	 -1.1317	 -1.1400	 -0.9133	 -0.8942
-22.00	 -1.0422	 -1.0422	 -1.0422	 -1.0778	 -1.1311	 -1.1400	 -0.8982	 -0.8778
-21.00	 -1.0361	 -1.0361	 -1.0361	 -1.0739	 -1.1306	 -1.1400	 -0.8831	 -0.8614
-20.00	 -1.0300	 -1.0300	 -1.0300	 -1.0700	 -1.1300	 -1.1400	 -0.8680	 -0.8450
-19.00	 -1.0640	 -1.0640	 -1.0640	 -1.1073	 -1.1395	 -1.1257	 -0.8704	 -0.8414
